Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-06-01 11:30:00-05,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091
2018-06-01 11:45:00-05,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308
2018-06-01 12:00:00-05,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574
2018-06-01 12:15:00-05,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128,1.0963267326732673
2018-06-01 12:30:00-05,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248,1.1043712871287128
2018-06-01 12:45:00-05,2.037222772277228,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288,1.1977524752475248
2018-06-01 13:00:00-05,2.1909900990099014,2.037222772277228,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235,1.1452128712871288
2018-06-01 13:15:00-05,2.225168316831683,2.1909900990099014,2.037222772277228,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405,1.3235
2018-06-01 13:30:00-05,2.286212871287129,2.225168316831683,2.1909900990099014,2.037222772277228,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288,1.4030940594059405
2018-06-01 13:45:00-05,2.359138613861386,2.286212871287129,2.225168316831683,2.1909900990099014,2.037222772277228,1.957539603960396,1.8593960396039604,1.8353960396039604,1.8872821782178213,1.7615198019801983,1.6268811881188119,1.6575445544554452,1.6103168316831682,1.6073663366336632,1.4893267326732669,1.4265198019801983,1.4337128712871288
