Time,power
2018-01-03 19:30:00-06,1.7265656108597287
2018-01-03 19:45:00-06,1.670828054298643
2018-01-03 20:00:00-06,1.6766063348416294
2018-01-03 20:15:00-06,1.6802760180995475
2018-01-03 20:30:00-06,1.6473484162895928
2018-01-03 20:45:00-06,1.5682171945701358
2018-01-03 21:00:00-06,1.5465429864253393
2018-01-03 21:15:00-06,1.4705113122171942
2018-01-03 21:30:00-06,1.519085972850679
2018-01-03 21:45:00-06,1.5701628959276017
2018-01-03 22:00:00-06,1.5121357466063348
2018-01-03 22:15:00-06,1.5754343891402711
2018-01-03 22:30:00-06,1.5027737556561085
2018-01-03 22:45:00-06,1.4304298642533937
2018-01-03 23:00:00-06,1.4191221719457014
2018-01-03 23:15:00-06,1.3353529411764706
2018-01-03 23:30:00-06,1.1926968325791856
2018-01-03 23:45:00-06,1.1989276018099548
2018-01-04 00:00:00-06,1.131321266968326
2018-01-04 00:15:00-06,1.2773484162895927
2018-01-04 00:30:00-06,1.2774932126696834
2018-01-04 00:45:00-06,1.1495067873303169
2018-01-04 01:00:00-06,1.0802986425339367
2018-01-04 01:15:00-06,1.1006334841628955
2018-01-04 01:30:00-06,1.1734524886877828
2018-01-04 01:45:00-06,1.1203438914027148
2018-01-04 02:00:00-06,1.1516787330316742
2018-01-04 02:15:00-06,1.1354072398190045
2018-01-04 02:30:00-06,1.2466696832579185
2018-01-04 02:45:00-06,1.1001176470588236
2018-01-04 03:00:00-06,1.1700452488687785
2018-01-04 03:15:00-06,1.1295339366515835
2018-01-04 03:30:00-06,1.1780859728506785
2018-01-04 03:45:00-06,1.2543800904977374
2018-01-04 04:00:00-06,1.2714298642533937
2018-01-04 04:15:00-06,1.331380090497737
2018-01-04 04:30:00-06,1.2531900452488691
2018-01-04 04:45:00-06,1.3078552036199091
2018-01-04 05:00:00-06,1.33420814479638
2018-01-04 05:15:00-06,1.2235746606334843
2018-01-04 05:30:00-06,1.2373031674208144
2018-01-04 05:45:00-06,1.1690995475113126
2018-01-04 06:00:00-06,1.2000452488687785
2018-01-04 06:15:00-06,1.190452488687783
2018-01-04 06:30:00-06,1.3426651583710412
2018-01-04 06:45:00-06,1.4585972850678737
2018-01-04 07:00:00-06,1.4455656108597286
2018-01-04 07:15:00-06,1.4735882352941176
2018-01-04 07:30:00-06,1.5658280542986425
2018-01-04 07:45:00-06,1.4862262443438914
2018-01-04 08:00:00-06,1.46079185520362
2018-01-04 08:15:00-06,1.5514932126696832
2018-01-04 08:30:00-06,1.545226244343891
2018-01-04 08:45:00-06,1.5106515837104075
2018-01-04 09:00:00-06,1.4787330316742082
2018-01-04 09:15:00-06,1.4185701357466065
2018-01-04 09:30:00-06,1.330714932126697
2018-01-04 09:45:00-06,1.2961176470588236
2018-01-04 10:00:00-06,1.272203619909502
2018-01-04 10:15:00-06,1.3603800904977377
2018-01-04 10:30:00-06,1.335049773755656
2018-01-04 10:45:00-06,1.2485610859728506
2018-01-04 11:00:00-06,1.222407239819005
2018-01-04 11:15:00-06,1.1702941176470587
2018-01-04 11:30:00-06,1.1811493212669684
2018-01-04 11:45:00-06,1.175633484162896
2018-01-04 12:00:00-06,1.136900452488688
2018-01-04 12:15:00-06,1.1652488687782805
2018-01-04 12:30:00-06,1.1744253393665158
2018-01-04 12:45:00-06,1.114710407239819
2018-01-04 13:00:00-06,1.0913031674208145
